"","mixed.breed","dd_weight_lbs","dd_age_years","recode.sex_2","recode.sex_4","recode.sex_3"
"X1810",0.0409768149149608,0.00221773725490975,-0.0181613072734032,0,0,0.685252604785698
"X1811",0.0294701682464898,0.00316318838732728,0,-0.101896824474749,0.346100016878428,0.358765000926846
"X1812",0,0.00910903886636425,0,0,0,0.18914170204485
"X1813",0.0184472163365059,0.0115315817465694,0,-0.283879555127036,-0.194239084280472,0.0340263701354542
"X1815",0.0619797327231566,0.0084478679537546,-0.0732383573313431,0.814443508098284,0,0.32891360461747
"X1816",0.0268157184193592,0.0126699325730423,0,0.411576936124095,-0.111243068542473,0.471505610897984
"X1817",0.0300823494596005,0.00581599679768593,0,0.0294400534230956,0.148384239643031,0.160056095418661
"X1898",0.0229244542219008,0.00315588229349683,0,-0.0718665302497157,0.129607597146806,0.0642282462875956
"X1998",0.0322199409015985,0.00341485753444577,0,0.673256407398508,0.0655504969481971,-0.390638782030751
"hs_cancer_types_lipoma",0.19186149598379,0.0126416372288293,1.09089419761706,0,1.2505581908393,0.370611892507625
"hs_cancer_types_mast_cell_tumor",0.157384936540565,0.0132953637834532,2.82140805616698,1.84297280981551,2.3971289141206,0.0400425849429708
"hs_cancer_types_melanoma",0.183549322269389,0.0104553687381268,0,0,0,0
"hs_cancer_types_other",0.202585615792301,0.0086404583364937,-0.0953922264705139,0,0.0179480819183028,0
"hs_cancer_types_soft_tissue_sarcoma",0.247093325781258,0.012168404197048,0,-0.0437386171442305,0,0
"hs_cancer_types_unknown",0.247397755069493,0.0110279198451613,0,-0.376541836630378,-0.114336097853939,-0.0455885321837341
