"Disease1","Disease2","Benjamini-Hochberg p-value"
1,156,0.830600204279348
1,157,0.811896443365895
2,3,0.811896443365895
2,4,0.811896443365895
2,5,0.811896443365895
2,6,0.641328514817107
2,7,0.811896443365895
2,8,0.811896443365895
2,9,0.751495874765865
2,10,0.934892390568872
2,11,0.811896443365895
2,12,0.811896443365895
2,13,0.697115643230376
2,14,0.0938873569572354
2,15,0.811896443365895
2,16,0.811896443365895
2,17,0.192364937618915
2,18,0.816664383411758
2,19,0.811896443365895
2,20,0.81215489142177
2,21,0.649647423674384
2,22,0.821629353174214
2,23,0.955454871182766
2,24,0.816664383411758
2,25,0.811896443365895
2,26,0.811896443365895
2,27,0.811896443365895
2,28,0.811896443365895
2,29,0.811896443365895
2,30,0.811896443365895
2,31,0.811896443365895
2,32,0.811896443365895
2,33,0.811896443365895
2,34,0.811896443365895
2,35,0.811896443365895
2,36,0.811896443365895
2,37,0.811896443365895
2,38,0.811896443365895
2,39,0.811896443365895
2,40,0.811896443365895
2,41,0.811896443365895
2,42,0.811896443365895
2,43,0.811896443365895
2,44,0.811896443365895
2,45,0.811896443365895
2,46,0.811896443365895
2,47,0.811896443365895
2,48,0.811896443365895
2,49,0.811896443365895
2,50,0.811896443365895
2,51,0.811896443365895
2,52,0.811896443365895
2,53,0.811896443365895
2,54,0.811896443365895
2,55,0.811896443365895
2,56,0.811896443365895
2,57,0.811896443365895
2,58,0.811896443365895
2,59,0.811896443365895
2,60,0.811896443365895
2,61,0.811896443365895
2,62,0.811896443365895
2,63,0.811896443365895
2,64,0.811896443365895
2,65,0.811896443365895
2,66,0.811896443365895
2,67,0.811896443365895
2,68,0.811896443365895
2,69,0.811896443365895
2,70,0.811896443365895
2,71,0.811896443365895
2,72,0.81215489142177
2,73,0.811896443365895
2,74,0.811896443365895
2,75,0.811896443365895
2,76,0.811896443365895
2,77,0.811896443365895
2,78,0.811896443365895
2,79,0.811896443365895
2,80,0.811896443365895
2,81,0.811896443365895
2,82,0.811896443365895
2,83,0.811896443365895
2,84,0.811896443365895
2,85,0.811896443365895
2,86,0.811896443365895
2,87,0.811896443365895
2,88,0.811896443365895
2,89,0.811896443365895
2,90,0.81447588413497
2,91,0.811896443365895
2,92,0.81215489142177
2,93,0.811896443365895
2,94,0.832774701362382
2,95,0.811896443365895
