"Disease1","Disease2","Benjamini-Hochberg p-value"
3,19,0.811877830310893
3,20,0.811877830310893
3,21,0.811877830310893
3,22,0.811877830310893
3,23,0.814219551404798
3,24,0.811877830310893
3,25,0.811877830310893
3,26,0.811877830310893
3,27,0.811877830310893
3,28,0.811877830310893
3,29,0.811877830310893
3,30,0.811877830310893
3,31,0.811877830310893
3,32,0.811877830310893
3,33,0.812162662357123
3,34,0.811877830310893
3,35,0.811877830310893
3,36,0.811877830310893
3,37,0.811877830310893
3,38,0.811877830310893
3,39,0.811877830310893
3,40,0.811877830310893
3,41,0.817402611092077
3,42,0.811877830310893
3,43,0.811877830310893
3,44,0.811877830310893
3,45,0.811877830310893
3,46,0.811877830310893
3,47,0.811877830310893
3,48,0.811877830310893
3,49,0.811877830310893
3,50,0.81920064704851
3,51,0.811877830310893
3,52,0.811877830310893
3,53,0.811877830310893
3,54,0.811877830310893
3,55,0.398520731622801
3,56,0.811877830310893
3,57,0.811877830310893
3,58,0.811877830310893
3,59,0.811877830310893
3,60,0.812162662357123
3,61,0.892964641513471
3,62,0.811877830310893
3,63,0.811877830310893
3,64,0.811877830310893
3,65,0.811877830310893
3,66,0.811877830310893
3,67,0.811877830310893
3,68,0.811877830310893
3,69,0.811877830310893
3,70,0.800069377752875
3,71,0.811877830310893
3,72,0.811877830310893
3,73,0.811877830310893
3,74,0.811877830310893
3,75,0.811877830310893
3,76,0.834643354533975
3,77,0.811877830310893
3,78,0.819619431044726
3,79,0.811877830310893
3,80,0.811877830310893
3,81,0.811877830310893
3,82,0.846611893727407
3,83,0.811877830310893
3,84,0.811877830310893
3,85,0.811877830310893
3,86,0.811877830310893
3,87,0.811877830310893
3,88,0.811877830310893
3,89,0.811877830310893
3,90,0.811877830310893
3,91,0.811877830310893
3,92,0.811877830310893
3,93,0.811877830310893
3,94,0.811877830310893
3,95,0.812317812424896
3,96,0.811877830310893
3,97,0.811877830310893
3,98,0.811877830310893
3,99,0.811877830310893
3,100,0.811877830310893
3,101,0.811877830310893
3,102,0.811877830310893
3,103,0.821529719956417
3,104,0.811877830310893
3,105,0.811877830310893
3,106,0.812162662357123
3,107,0.811877830310893
3,108,0.811877830310893
3,109,0.0339398300152036
3,110,0.811877830310893
3,111,0.811877830310893
3,112,0.811877830310893
3,113,0.811877830310893
3,114,0.811877830310893
3,115,0.811877830310893
