dog_id,dd_age_years,dd_weight_lbs,recode.sex_2,recode.sex_3,recode.sex_4,mixed.breed
83460,14.83333333,20,0,0,1,1
92678,8.416666667,56,1,0,0,1
28565,6,20,0,0,1,0
83468,4.25,54,0,0,1,1
70153,6.166666667,105,0,0,1,1
51873,11,14,0,0,1,1
80637,4.916666667,16,0,0,1,1
22934,14,23,0,0,1,0
11244,5.916666667,55,1,0,0,0
72244,7.75,31,1,0,0,1
89165,9.666666667,55,0,0,1,0
202,12.83333333,52,0,0,1,1
50979,2.583333333,91.5,1,0,0,0
50136,13.83333333,39,1,0,0,1
91526,4.75,12,1,0,0,1
98737,11.66666667,80.2,0,0,1,1
7258,4.333333333,17,1,0,0,1
78684,9.416666667,71,1,0,0,0
69452,3.75,43,1,0,0,1
48274,11.75,26,1,0,0,1
51183,8.166666667,66.5,1,0,0,0
8479,10,50,1,0,0,0
77766,9.166666667,58,1,0,0,0
7906,9.416666667,18.6,1,0,0,0
81560,1.416666667,78,0,0,0,0
86754,2.5,63,1,0,0,0
91191,1.416666667,16.2,0,0,1,0
86917,8,54.5,0,0,1,0
83200,10.25,24,0,0,1,0
56263,9.583333333,61.4,1,0,0,1
35233,3,63,0,0,1,1
40469,7,9,0,0,1,1
33611,10,14,1,0,0,1
88865,13.33333333,17.9,0,0,1,0
28326,1.416666667,58,0,0,1,1
45586,11.08333333,49,0,0,1,1
63524,4.083333333,70,1,0,0,1
1674,11,14.5,1,0,0,1
78422,8.666666667,30,0,0,1,0
88063,3,73,1,0,0,1
75957,8.333333333,15,1,0,0,0
1230,12.25,48,0,0,1,0
94086,4.416666667,14,0,0,1,1
70406,4.25,9.5,0,0,1,1
24906,13.33333333,35,0,0,1,0
18599,8,57,1,0,0,1
37702,8,52,1,0,0,1
46838,10,55,1,0,0,0
47561,11,43,1,0,0,1
92476,13.75,44,0,0,1,0
78270,11.75,45,0,0,1,1
59745,10,64,1,0,0,0
23094,11,90,0,0,1,0
59310,14.75,52,1,0,0,1
96168,1.333333333,102,0,1,0,0
51041,12.25,20,1,0,0,0
96451,12.83333333,53,0,0,1,0
50365,5.5,85,0,1,0,0
73526,3.916666667,68,1,0,0,0
18979,12,28,1,0,0,1
27401,6.75,48,1,0,0,1
8965,8,33.6,0,0,1,0
52867,1.916666667,75,1,0,0,0
85376,3.333333333,13.4,0,0,1,1
438,7.416666667,45,0,0,1,0
61252,7.916666667,40,1,0,0,0
10608,11.5,69,1,0,0,1
829,5,5,1,0,0,0
84139,3,45,0,0,1,1
2346,1.75,51,0,0,1,1
13049,12.25,59,0,0,1,1
56513,6.166666667,120,0,0,1,0
49326,5,85,0,0,1,1
41330,12.08333333,35,0,0,1,1
90779,12.91666667,61,0,0,1,1
61323,9,28.5,1,0,0,1
59343,4.75,43,1,0,0,0
85350,13.41666667,63,1,0,0,1
49864,9,80,1,0,0,0
61010,9.666666667,14,1,0,0,1
78299,10,13,1,0,0,1
95390,9.083333333,92.5,0,0,1,0
88011,16.16666667,20,1,0,0,1
13062,13.16666667,61,1,0,0,1
29534,8.333333333,46,0,1,0,0
94923,9.833333333,45,1,0,0,0
72357,11.08333333,6,1,0,0,0
37731,4.333333333,57,0,0,1,1
59348,5.583333333,55,1,0,0,0
27291,10.91666667,53,1,0,0,0
30363,1.333333333,31,1,0,0,1
18632,16.16666667,54,0,1,0,1
90300,2,53,0,0,1,1
78740,2.333333333,28,1,0,0,1
90488,3,57.7,1,0,0,0
66168,4.916666667,165,0,1,0,0
89422,10.41666667,42,1,0,0,0
37435,12.41666667,91,0,1,0,0
97451,5.166666667,104,0,0,1,0
57641,2.416666667,34,1,0,0,0
9597,14.58333333,55,1,0,0,1
92843,0.166666667,13,0,1,0,0
88540,6,52,0,0,1,1
100530,4.75,85,1,0,0,1
67462,12,65,1,0,0,1
16848,12.16666667,39,1,0,0,0
11445,5.583333333,29,1,0,0,1
87212,10.5,24,0,0,1,1
13473,4.416666667,40,1,0,0,1
82476,12.91666667,33,0,0,1,0
87176,13.08333333,16.5,0,0,1,1
24615,4,78,0,1,0,0
83971,2.5,57,1,0,0,1
84514,1.583333333,56.5,1,0,0,0
23613,8.083333333,6,1,0,0,1
24999,6.333333333,92,0,0,1,0
88311,1.25,71,1,0,0,1
42260,4.166666667,41,1,0,0,1
72592,5.166666667,54,1,0,0,1
102506,8,28,0,0,1,1
100426,10,47,0,0,1,1
30763,2.166666667,52.6,0,0,1,1
75217,9.25,11.5,1,0,0,0
74110,9,38,1,0,0,0
7463,1.916666667,35,0,0,1,0
28972,20,63,1,0,0,1
51415,12.41666667,13,0,0,1,1
13353,13,60,1,0,0,0
85954,4.416666667,103,0,0,1,0
92666,6.416666667,62,0,0,1,1
51758,3,44,0,0,1,1
95532,0.75,74,1,0,0,0
83410,8.166666667,52,1,0,0,1
91594,7.333333333,35,1,0,0,0
22330,2.25,13,1,0,0,0
95683,8.5,66.5,0,0,1,1
9280,10,14,1,0,0,1
2381,8,67,0,0,1,1
15019,11.41666667,95,0,0,1,0
87328,8.916666667,6.8,1,0,0,0
34009,6,40,1,0,0,1
31014,5,54,1,0,0,1
95231,1.416666667,60,1,0,0,0
60082,13.91666667,15,0,0,1,0
53277,8.5,48,1,0,0,0
74311,5.083333333,51,1,0,0,1
5351,11.66666667,95,1,0,0,1
48556,1.333333333,37,1,0,0,1
15948,12.58333333,48,0,0,0,0
11690,12,47,1,0,0,1
54550,6.666666667,20,1,0,0,0
16086,10.75,4,1,0,0,0
79749,13.41666667,61,1,0,0,0
26537,5.583333333,63,0,0,1,1
29247,9,70,0,0,1,0
89294,10.33333333,20,1,0,0,1
31913,2.25,73,0,0,1,0
72992,2.333333333,34.6,1,0,0,1
34270,11.75,72.6,1,0,0,1
85513,7.5,57,1,0,0,1
22866,4,14,0,0,1,1
13779,8.416666667,56,1,0,0,1
41923,4,17,0,0,1,1
99659,11.91666667,17,0,0,1,1
3830,9,65,1,0,0,1
40472,2.5,50.5,1,0,0,0
35114,6.333333333,90,0,0,1,1
913,12,25,0,0,1,0
51360,7.25,4.6,1,0,0,0
100576,0.583333333,46,0,0,0,0
19039,10,60,1,0,0,1
87693,9.666666667,61,0,0,1,0
18294,13.58333333,30,1,0,0,0
93909,6.083333333,73,1,0,0,1
32696,1.75,81,0,0,1,1
68234,10,56,0,0,1,1
7071,12.75,76,1,0,0,1
99266,8.666666667,68,1,0,0,0
79234,2.5,63,1,0,0,0
53316,13.83333333,7.2,0,0,1,0
100235,6.166666667,120,0,0,1,0
20241,2.333333333,28,1,0,0,1
70967,1.916666667,28,1,0,0,1
67494,7.75,60,0,0,1,1
88840,1.75,65,0,0,1,1
82974,11,71,0,0,1,0
67773,14.5,55,0,1,0,1
97144,8.833333333,74,0,0,1,1
71757,6,65,1,0,0,1
1934,5.166666667,22,0,0,1,0
79728,8.666666667,84.6,0,0,1,0
37924,8,48,1,0,0,1
29729,10,54,0,0,1,1
94103,16,49.9,1,0,0,0
64001,13.33333333,65,1,0,0,1
50149,8.333333333,127,0,1,0,0
32608,6.083333333,64.4,1,0,0,1
72341,5.833333333,69,1,0,0,0
103643,1.666666667,15,0,0,1,1
60355,12,23,1,0,0,1
57877,10.41666667,26,1,0,0,0
60766,11.41666667,19,0,0,1,0
11441,13.41666667,67,0,1,0,0
93192,6.75,34,1,0,0,0
93545,9.5,99,0,0,1,0
332,1.5,26,1,0,0,1
82216,13.16666667,67,0,0,1,0
42944,3,65,0,0,1,1
78552,4,22,0,0,1,0
35164,10.91666667,15.3,1,0,0,0
76436,10.25,62,1,0,0,0
52686,13,78,1,0,0,0
91111,2.083333333,8,1,0,0,1
13615,12.16666667,17,0,1,0,0
60227,5.416666667,57,1,0,0,1
41721,12.33333333,60,1,0,0,1
90007,10.75,28,0,0,1,0
88499,9.25,70,1,0,0,1
90725,8.25,85,0,0,1,0
71288,11.16666667,42.5,0,0,1,1
2172,10.33333333,68.4,0,0,1,0
83980,0.5,40,0,1,0,1
95593,0.833333333,65,0,0,1,0
10573,11.5,95,0,0,1,1
90082,12,28,0,0,1,0
613,1.5,72,0,0,0,1
46445,5,24,0,0,1,1
78136,1.833333333,92,1,0,0,1
32959,5.166666667,49.8,1,0,0,1
39609,8.5,74,0,0,1,0
21653,3,77,1,0,0,0
44855,10,7.5,0,0,1,0
98365,8.333333333,78,0,0,1,0
86392,15,23,1,0,0,1
40360,4.833333333,75,0,0,1,0
38217,11.91666667,63,0,0,1,0
