dog_id,hs_condition,days_from_present,months_from_present
5240,305,1055,34.68
5240,705,3186,104.68
5240,1110,4647,152.68
5240,1112,4647,152.68
5240,1113,964,31.68
45805,405,1360,44.68
45805,423,1360,44.68
45805,426,1360,44.68
28324,504,3186,104.68
28324,1118,933,30.68
17268,305,3125,102.68
17268,306,3125,102.68
17268,428,841,27.68
17268,1708,4252,139.68
58977,798,1391,45.68
58977,1634,2455,80.68
15557,1117,3551,116.68
102685,1634,902,29.68
72205,102,1207,39.68
72205,202,2302,75.68
72205,304,1207,39.68
72205,705,1572,51.68
60642,1110,1633,53.68
69116,108,994,32.68
69116,1605,1299,42.68
69116,1816,1452,47.68
69116,1817,1177,38.68
4114,304,964,31.68
4114,305,1330,43.68
4114,306,2821,92.68
4114,313,3429,112.68
64678,313,2729,89.68
64678,426,2729,89.68
64678,809,1421,46.68
64678,1637,2638,86.68
33038,709,1421,46.68
33038,1609,1421,46.68
72234,408,1360,44.68
69397,304,1572,51.68
69397,432,660,21.68
69397,498,1330,43.68
69397,1119,994,32.68
69397,1312,1055,34.68
69397,1617,4647,152.68
69397,1817,1572,51.68
3476,306,1452,47.68
3476,408,2729,89.68
20897,415,933,30.68
20897,1817,933,30.68
42137,304,4252,139.68
42137,305,4221,138.68
42137,306,4221,138.68
42137,408,1207,39.68
42137,428,2576,84.68
42137,914,3551,116.68
42137,1605,2913,95.68
80393,505,5104,167.68
80393,202,1268,41.68
80393,423,1786,58.68
80393,915,2241,73.68
31125,305,568,18.68
31125,306,568,18.68
31125,414,2090,68.68
31125,1618,2090,68.68
31125,1701,2272,74.68
60016,504,1115,36.68
60016,1801,2821,92.68
54244,101,2821,92.68
54244,102,1391,45.68
55230,304,1238,40.68
55230,708,1725,56.68
42675,101,933,30.68
42675,102,1664,54.68
42675,205,1664,54.68
42675,304,1664,54.68
42675,305,1633,53.68
42675,307,1664,54.68
42675,405,902,29.68
42675,504,1664,54.68
42675,908,1664,54.68
42675,1113,1664,54.68
83352,510,3459,113.68
83352,1605,4678,153.68
83352,1708,3916,128.68
83352,1801,1115,36.68
83352,1804,3459,113.68
83352,1810,3459,113.68
62801,305,1360,44.68
62801,1118,3763,123.68
61524,1634,1146,37.68
64635,1812,1055,34.68
95151,304,1025,33.68
95151,305,1025,33.68
95151,406,660,21.68
95151,432,1299,42.68
95151,1703,780,25.68
28064,116,1025,33.68
28064,304,1055,34.68
28064,410,3094,101.68
28064,428,780,25.68
28064,706,4739,155.68
28064,1113,1421,46.68
28064,1637,5104,167.68
28064,1701,3186,104.68
28064,1801,3033,99.68
66178,426,933,30.68
66178,498,933,30.68
